,tag_total,date
32,"['#점심메뉴', '#쉑쉑버거', '#바쁘다바빠', '#치타배달', '#맛점', '#즐점', '#패스트푸드', '#햄버거', '#나에게', '#월행사', '#버거데이', '#쉑쉑', '#맛있다']",2021-09-06T05:02:49.000Z
33,"['#햄버거', '#슈드', '#surfpik']",2021-09-06T04:58:52.000Z
34,"['#여의도', '#여의도맛집', '#점심', '#점심메뉴', '#햄버거', '#브르클린', '#hamberger', '#감자튀김', '#밀크세이크', '#milkshake', '#foodie', '#foodblogger', '#foodlover', '#foodpics', '#맛스타그램', '#맛점', '#맛집그램', '#맛있는', '#먹스타그램', '#먹방스타그램', '#먹방그램', '#먹방샷', '#eatingshow', '#mukbang', '#일상스타그램', '#소통해요', '#오늘은']",2021-09-06T04:49:29.000Z
35,"['#마곡', '#마곡맛집', '#마곡나루맛집', '#마곡나루역', '#마곡나루역맛집', '#마곡역', '#발산역맛집', '#발산맛집', '#햄버거맛집', '#햄버거', '#크로켓', '#애월감성', '#애월감성마곡점', '#애월감성마곡', '#맛스타그램', '#수제햄버거', '#어썸버거', '#리얼흑심버거']",2021-09-06T04:48:40.000Z
36,"['#맥도날드신메뉴', '#창녕갈릭버거', '#맥도날드', '#버거', '#버거스타그램', '#버거그램', '#햄버거', '#햄버거맛집', '#갈릭버거', '#맥날', '#맥날감튀', '#패스트푸드', '#맛있다그램', '#맛스타그램', '#먹방스타그램', '#먹방그램', '#음식', '#음식스타그램', '#디저트', '#맥도날드세트', '#창녕갈릭버거세트', '#좋아요', '#일상', '#일상스타그램', '#데일리그램', '#macdonalds', '#buger', '#foodstagram', '#daily', '#macdonalds']",2021-09-06T04:40:21.000Z
37,"['#용원', '#용원동', '#엘룩스상가', '#호', '#수제버거', '#수제햄버거', '#토스트', '#옛날토스트', '#햄버거맛집', '#소고기패티', '#장', '#탐탐버거', '#호시토스트', '#호시탐탐', '#햄버거', '#용원맛집', '#용원햄버거', '#용원토스트']",2021-09-06T04:38:14.000Z
38,"['#수제버거', '#수제버거맛집', '#맛스타그램', '#맛집스타그램', '#햄버거', '#맛집', '#양재역', '#양재맛집', '#양재역맛집', '#매봉역', '#매봉역맛집', '#개포동맛집', '#왓츠피데', '#왓츠피데개포점']",2021-09-06T04:34:17.000Z
39,"['#쉬는날', '#햄버거', '#배달']",2021-09-06T04:25:41.000Z
40,"['#dips버거', '#딥스버거', '#수제버거', '#아메리칸치즈버거', '#치즈버거', '#햄버거', '#수제버거맛집', '#감튀양짱많아', '#냠냠', '#먹스타그램', '#먹스타맞팔', '#먹팔', '#맞팔', '#likeforlikes', '#followforfollowback', '#lfl', '#burger', '#hamberger', '#yum']",2021-09-06T04:24:07.000Z
41,"['#무거버거', '#제주도가고싶다✈️', '#제주맛집', '#제주여행']",2021-09-06T04:21:29.000Z
42,"['#신림맛집', '#신림', '#신림역', '#떡볶이', '#햄버거', '#멕스칸즉석햄버거', '#맛집', '#라면사리필수']",2021-09-06T04:16:18.000Z
43,"['#점심그램', '#점심스타그램', '#food', '#foodstagram', '#foodie', '#instafood', '#instafoodie', '#햄버거', '#맥도날드', '#슈비버거', '#햄버거', '#맞팔', '#맞팔해요', '#맞팔환영', '#맞팔선팔환영', '#인스타푸드', '#인스타데일리']",2021-09-06T04:14:47.000Z
44,"['#점심시간', '#한강', '#햄버거', '#먹스타그램']",2021-09-06T04:14:07.000Z
45,"['#용산아이파크몰', '#햄버거맛집', 'daehan_burger', '#수제버거', '#펄프도시락', '#유산지', '#냅킨', '#컵홀더', 'love_heeya', 'seungxsu', 'mureung_dowon']",2021-09-06T04:11:52.000Z
46,"['#버거킹', '#와퍼주니어', '#맛쟁이_평택', '#버거킹', '#와퍼', '#와퍼세트', '#햄버거']",2021-09-06T04:10:46.000Z
47,"['#춘천시', '#춘천닭갈비', '#춘천닭갈비버거', '#UFO버거', '#유에프오버거', '#UFOBURGER', '#비행접시버거', '#세상에없던사차원버거', '#Do_not_spill_it', '#흘리지마', '#아이오아스', '#햄버거', '#수제버거']",2021-09-06T04:07:56.000Z
48,"['#햄버거', '#새우비프버거', '#번지버거', '#맛있어요']",2021-09-06T04:03:10.000Z
49,"['#도시락', '#직장인', '#직장인도시락', '#햄버거']",2021-09-06T03:46:55.000Z
50,"['#맘터', '#맘스터치', '#버거', '#햄버거', '#햄벅', '#햄벅어', '#햄벅하자', '#햄벅해', '#햄벅스타그램', '#패스트푸드', '#패스트푸드그램', '#먹방', '#먹스타그램', '#먹스타맞팔', '#맛스타그램', '#맛스타', '#먹스타', '#싸이', '#싸이버거', '#통새우버거', '#새우', '#새우요리', '#새우버거', '#감자요리', '#감자', '#튀김', '#감자튀김', '#감튀', '#음식', '#음식스타그램']",2021-09-06T03:33:50.000Z
51,"['#리미티드버거', '#수제버거', '#육즙', '#버거', '#햄버거', '#버거맛집', '#수제버거맛집', '#상암맛집', '#마포맛집', '#맛집', '#먹스타그램', '#햄벅', '#limeatedburger', '#limeated', '#burger', '#handmadeburger', '#hamburger', '#sangam', '#mapo', '#seoul', '#korea', '#igfood', '#igburger', '#burgerporn']",2021-09-06T03:28:25.000Z
52,"['#배달음식', '#햄버거', '#롯데리아', '#맛점', '#오늘', '#일상', '#소통', '#데일리', '#daily', '#인친', '#먹스타그램', '#맛스타그램', '#선팔', '#맞팔', '#선팔맞팔', '#선팔하면맞팔', '#선팔하면맞팔가요', '#맞팔환영', '#팔로우', '#팔로잉', '#좋아요', '#좋아요반사', '#좋아요테러', '#좋반', '#following', '#ootd', '#followlike', '#likeforlikes']",2021-09-06T03:20:27.000Z
53,"['#레이지버거클럽', '#레이지버거', '#레이지버거클럽원흥점', '#수제버거', '#버거', '#햄버거', '#감자튀김', '#먹스타그램', '#먹킷리스트', '#먹스타', '#원흥', '#삼송', '#원흥맛집', '#삼송맛집', '#맛집추천']",2021-09-06T03:06:49.000Z
54,"['#전국맛집', '#맛집탐방', '#맛스타그램', '#맛집', '#서울맛집', '#부산맛집', '#대구맛집', '#대명동맛집', '#존스버거', '#하와이안버거', '#수제버거', '#햄버거', '#food', '#foodstagram', '#hamburg']",2021-09-06T03:06:41.000Z
